dataset,feature_name,feature_id,block,history_definition,variable_type,unit,behavioural_reason,primary_association_test,effect_size,redundancy_check,predictive_ranking,selection_status,missing_handling,important_note,present_in_final_dataset,experiment_role,nonmissing,missing,missing_fraction,unique_nonmissing,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,level_counts_json
individual,dbscan_history_mean_vy_mps,G04,dbscan_context,mean group vy averaged across previous 2 s,numeric,m/s,Companions moving toward the road may encourage crossing,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over valid snapshots,Core group-motion candidate,True,dbscan_addon,28139,0,0.0,24202,-0.02790134035775808,0.569831622539728,-2.9413135999999995,-1.5783453095238094,-1.0816849523809526,-0.2654478571428571,-0.0023211428571428,0.2305902142857142,0.9008783666666667,1.5045206009523753,3.538176714285715,
individual,dbscan_history_mean_speed_mps,G05,dbscan_context,mean group speed averaged across previous 2 s,numeric,m/s,Represents group activity level,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over valid snapshots,May correlate with group vx and vy,True,dbscan_addon,28139,0,0.0,24204,1.0216687824306423,0.6254978714646946,0.0044038571428571,0.03228656571428568,0.10448652857142851,0.5296356036414566,0.9970573809523808,1.4404813809523813,2.0663456619047618,2.71164876285714,4.9827691428571415,
individual,dbscan_companion_wait_mean_sec,G06,dbscan_context,mean current waiting duration among companions,numeric,s,Average companion waiting may influence the focal decision,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero with no companions,Companions exclude the focal pedestrian,True,dbscan_addon,28139,0,0.0,6679,2.862814667687327,9.24457176918565,0.0,0.0,0.0,0.0,0.199999999999909,2.3000000000000456,11.451666666666663,41.16199999999984,127.1,
individual,dbscan_companion_wait_min_sec,G07,dbscan_context,minimum current waiting duration among companions,numeric,s,Newest companion may indicate recent group formation,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero with no companions,Companions exclude the focal pedestrian,True,dbscan_addon,28139,0,0.0,716,1.7893741781868557,8.758286436811472,0.0,0.0,0.0,0.0,0.0,0.5000000000000909,6.699999999999909,37.94799999999956,127.1,
individual,dbscan_companion_wait_max_sec,G08,dbscan_context,maximum current waiting duration among companions,numeric,s,Longest-waiting companion may influence crossing initiation,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero with no companions,Companions exclude the focal pedestrian,True,dbscan_addon,28139,0,0.0,1045,4.460023454991292,11.432444109663578,0.0,0.0,0.0,0.0,0.2999999999998181,3.8999999999999546,20.00000000000009,57.22399999999979,127.1,
individual,dbscan_companion_low_speed_fraction,G09,dbscan_context,fraction of companions currently in low-speed waiting,numeric,proportion,Distinguishes a waiting group from a moving cluster,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,zero with no companions,Companions exclude the focal pedestrian,True,dbscan_addon,28139,0,0.0,63,0.3549907245572251,0.42621426344471186,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,
individual,dbscan_companion_low_speed_wait_mean_sec,G10,dbscan_context,mean causal cumulative low-speed waiting time among current companions,numeric,s,Tests whether companions with longer established waiting influence the focal decision,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,sensitivity_only,zero with no companions; log1p transform for modelling,Can exceed the 2 s observation window; companions exclude the focal pedestrian; retain only for cumulative-wait sensitivity analysis,True,dbscan_addon,28139,0,0.0,2624,2.0382229628845816,8.23718870055889,0.0,0.0,0.0,0.0,0.0,0.95,8.63399999999999,36.2619999999999,113.7,
individual,dbscan_companion_low_speed_wait_min_sec,G11,dbscan_context,minimum causal cumulative low-speed waiting time among current companions,numeric,s,Identifies whether every current companion has established low-speed waiting,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,sensitivity_only,zero with no companions; log1p transform for modelling,Can exceed the 2 s observation window; companions exclude the focal pedestrian; retain only for cumulative-wait sensitivity analysis,True,dbscan_addon,28139,0,0.0,536,1.2955009062155727,7.852063319461407,0.0,0.0,0.0,0.0,0.0,0.0,4.2,32.0619999999999,113.7,
individual,dbscan_companion_low_speed_wait_max_sec,G12,dbscan_context,maximum causal cumulative low-speed waiting time among current companions,numeric,s,Captures the longest-waiting current companion as a possible behavioural cue,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,sensitivity_only,zero with no companions; log1p transform for modelling,Can exceed the 2 s observation window; companions exclude the focal pedestrian; retain only for cumulative-wait sensitivity analysis,True,dbscan_addon,28139,0,0.0,713,3.2526848857457615,10.090304925442544,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,16.3,50.900000000000006,114.2,
individual,dbscan_companion_male_ratio_2s_mean,G13,dbscan_demography,mean male proportion among companions across previous 2 s,numeric,proportion,Required demographic composition hypothesis,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,theory_mandatory,zero with no companions,Unknown gender is the reference proportion,True,dbscan_addon,28139,0,0.0,4871,0.3015273738256858,0.3389957420991228,0.0,0.0,0.0,0.0,0.1706349206349206,0.5623024462310175,0.9761904761904762,1.0,1.0,
individual,dbscan_companion_female_ratio_2s_mean,G14,dbscan_demography,mean female proportion among companions across previous 2 s,numeric,proportion,Required demographic composition hypothesis,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,theory_mandatory,zero with no companions,Unknown gender equals one minus male minus female,True,dbscan_addon,28139,0,0.0,2529,0.07645023903150762,0.18074738875719457,0.0,0.0,0.0,0.0,0.0,0.0223611111111111,0.4761904761904761,0.9285714285714286,1.0,
individual,dbscan_companion_unknown_gender_ratio_2s_mean,G15,dbscan_demography,mean unknown-gender proportion among companions across previous 2 s,numeric,proportion,Retains classification uncertainty for audit,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,reference_not_jointly_encoded,zero with no companions,Stored and tested but omitted with intercept when male and female are encoded,True,dbscan_addon,28139,0,0.0,4581,0.1937724054989725,0.25977100206477843,0.0,0.0,0.0,0.0,0.0595238095238095,0.3174603174603175,0.7741572184429327,1.0,1.0,
individual,dbscan_companion_young_ratio_2s_mean,G16,dbscan_demography,mean young proportion among companions across previous 2 s,numeric,proportion,Required age-composition hypothesis,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,theory_mandatory,zero with no companions,Unknown age is the reference proportion,True,dbscan_addon,28139,0,0.0,2044,0.054316815694702675,0.1528441046466152,0.0,0.0,0.0,0.0,0.0,0.0,0.3683333333333321,0.8412698412698413,1.0,
individual,dbscan_companion_adult_ratio_2s_mean,G17,dbscan_demography,mean adult proportion among companions across previous 2 s,numeric,proportion,Required age-composition hypothesis,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,theory_mandatory,zero with no companions,Unknown age is the reference proportion,True,dbscan_addon,28139,0,0.0,4256,0.17874752636490998,0.27320097510735325,0.0,0.0,0.0,0.0,0.0,0.30487528344671205,0.8333333333333334,1.0,1.0,
individual,dbscan_companion_old_ratio_2s_mean,G18,dbscan_demography,mean older proportion among companions across previous 2 s,numeric,proportion,Required age-composition hypothesis,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,theory_mandatory,zero with no companions,Unknown age is the reference proportion,True,dbscan_addon,28139,0,0.0,679,0.010417631384878109,0.06875592498050327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33034920634920467,1.0,
individual,dbscan_companion_unknown_age_ratio_2s_mean,G19,dbscan_demography,mean unknown-age proportion among companions across previous 2 s,numeric,proportion,Retains classification uncertainty for audit,Mann-Whitney U,rank-biserial,compositional reference rule,grouped permutation importance,reference_not_jointly_encoded,zero with no companions,Stored and tested but omitted with intercept when young adult and old are encoded,True,dbscan_addon,28139,0,0.0,4891,0.32826804491167516,0.33783074655832235,0.0,0.0,0.0,0.0,0.2142857142857142,0.5889012896825396,1.0,1.0,1.0,
individual,location_id,C01,analysis_control,recording location,categorical,category,Location may explain baseline differences but can hide physical mechanisms,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,subgroup_analysis_only,never missing,Not proposed as a primary behavioural predictor,True,subgroup_control,28139,0,0.0,6,,,,,,,,,,,,"{""FG"": 10649, ""BM"": 7648, ""KB"": 5448, ""BS"": 1672, ""JG"": 1464, ""ITC"": 1258}"
individual,traffic_period,C02,analysis_control,peak or off-peak recording period,categorical,category,Traffic period may explain behavioural differences,Chi-square or Fisher,Cramer's V,Cramer's V,grouped permutation importance,subgroup_analysis_only,never missing,Report as subgroup and sensitivity analysis,True,subgroup_control,28139,0,0.0,2,,,,,,,,,,,,"{""peak"": 22748, ""off_peak"": 5391}"
